source,network_type,simplify,retain_all,building_mode,open_ground,B,NB,total,Ed,Eu,og_nodes,og_edges,b_edges,n_comp,lc_ratio,score
snap=current query=point:d=860 net=walk,walk,False,False,add,off,277,3377,3654,8286,4143,0,0,554,1,1.0,1.0263
snap=current query=point:d=860 net=walk,walk,True,True,add,add,277,1547,1824,4676,2348,55,110,554,18,0.8942,1.0378
snap=current query=point:d=860 net=walk,walk,False,False,add,add,277,3432,3709,8396,4198,55,110,554,1,1.0,1.0445
snap=current query=point:d=860 net=walk,walk,True,True,add,off,277,1492,1769,4566,2293,0,0,554,18,0.8932,1.0687
snap=current query=point:d=860 net=walk,walk,False,False,tag,off,243,3134,3377,7732,3866,0,0,0,1,1.0,1.0727
snap=current query=point:d=860 net=walk,walk,False,False,tag,add,243,3188,3431,7840,3920,54,108,0,1,1.0,1.0906
snap=current query=point:d=860 net=walk,walk,True,False,add,add,277,1389,1666,4310,2163,53,106,554,1,1.0,1.1296
snap=current query=point:d=860 net=walk,walk,False,True,tag,off,261,3566,3827,8682,4341,0,0,0,18,0.8824,1.1454
snap=current query=point:d=860 net=walk,walk,True,False,add,off,277,1336,1613,4204,2110,0,0,554,1,1.0,1.1594
snap=current query=point:d=860 net=walk,walk,False,True,tag,add,261,3625,3886,8800,4400,59,118,0,18,0.8824,1.1649
snap=current query=point:d=860 net=walk,walk,False,True,add,off,277,3827,4104,9236,4618,0,0,554,18,0.8823,1.172
snap=current query=point:d=860 net=walk,walk,False,True,add,add,277,3886,4163,9354,4677,59,118,554,18,0.8825,1.1915
snap=current query=point:d=860 net=walk,walk,True,True,tag,add,244,1304,1548,4124,2072,56,112,0,18,0.8966,1.2974
snap=current query=point:d=860 net=walk,walk,True,True,tag,off,244,1248,1492,4012,2016,0,0,0,18,0.8954,1.329
snap=current query=point:d=1170 net=walk,walk,True,True,tag,add,431,1821,2252,5866,2950,75,150,0,18,0.9205,1.4023
