source,network_type,simplify,retain_all,building_mode,open_ground,B,NB,total,Ed,Eu,og_nodes,og_edges,b_edges,n_comp,lc_ratio,score
snap=current query=point:d=1170 net=walk,walk,True,False,add,off,473,2444,2917,8082,4050,0,0,946,1,1.0,0.69
snap=current query=point:d=1170 net=walk,walk,True,False,add,add,473,2532,3005,8258,4138,88,176,946,1,1.0,0.7218
snap=current query=point:d=1170 net=walk,walk,True,True,add,off,473,2538,3011,8226,4122,0,0,946,28,0.9631,0.7267
snap=current query=point:d=1170 net=walk,walk,True,True,add,add,473,2630,3103,8410,4214,92,184,946,28,0.9623,0.76
snap=current query=point:d=1170 net=walk,walk,True,False,tag,off,338,2106,2444,7136,3577,0,0,0,1,1.0,0.8695
snap=current query=point:d=1170 net=walk,walk,True,True,tag,off,342,2196,2538,7280,3649,0,0,0,28,0.963,0.8958
snap=current query=point:d=1170 net=walk,walk,True,False,tag,add,338,2184,2522,7292,3655,78,156,0,1,1.0,0.8977
snap=current query=point:d=1170 net=walk,walk,True,True,tag,add,342,2277,2619,7442,3730,81,162,0,28,0.9618,0.9251
snap=current query=point:d=1500 net=walk,walk,True,False,tag,off,421,3110,3531,10382,5209,0,0,0,1,1.0,0.982
snap=current query=point:d=1500 net=walk,walk,True,True,tag,off,426,3214,3640,10568,5303,0,0,0,29,0.9701,1.0104
snap=current query=point:d=1500 net=walk,walk,True,False,tag,add,421,3224,3645,10610,5323,114,228,0,1,1.0,1.0232
snap=current query=point:d=1500 net=walk,walk,True,True,tag,add,426,3332,3758,10804,5421,118,236,0,29,0.9691,1.0531
snap=current query=point:d=1500 net=walk,walk,True,False,add,off,583,3531,4114,11548,5792,0,0,1166,1,1.0,1.2372
snap=current query=point:d=1500 net=walk,walk,True,True,add,off,583,3640,4223,11734,5886,0,0,1166,29,0.9702,1.2786
snap=current query=point:d=1500 net=walk,walk,True,False,add,add,583,3656,4239,11798,5917,125,250,1166,1,1.0,1.2825
snap=current query=point:d=1500 net=walk,walk,True,True,add,add,583,3769,4352,11992,6015,129,258,1166,29,0.9694,1.3253
snap=current query=point:d=1170 net=walk,walk,False,False,add,off,473,4891,5364,12976,6488,0,0,946,1,1.0,1.5754
snap=current query=point:d=1170 net=walk,walk,False,False,add,add,473,4991,5464,13176,6588,100,200,946,1,1.0,1.6116
snap=current query=point:d=1170 net=walk,walk,False,True,add,off,473,5132,5605,13414,6707,0,0,946,28,0.9538,1.6653
snap=current query=point:d=1170 net=walk,walk,False,True,add,add,473,5236,5709,13622,6811,104,208,946,28,0.9536,1.7029
snap=current query=point:d=1170 net=walk,walk,False,False,tag,off,356,4535,4891,12030,6015,0,0,0,1,1.0,1.7082
snap=current query=point:d=2000 net=walk,walk,True,False,tag,off,654,4811,5465,16214,8125,0,0,0,1,1.0,1.7223
snap=current query=point:d=1170 net=walk,walk,False,False,tag,add,356,4627,4983,12214,6107,92,184,0,1,1.0,1.7415
snap=current query=point:d=2000 net=walk,walk,True,True,tag,off,656,4934,5590,16402,8220,0,0,0,41,0.9776,1.7746
snap=current query=point:d=1170 net=walk,walk,False,True,tag,off,361,4771,5132,12468,6234,0,0,0,28,0.953,1.7851
snap=current query=point:d=2000 net=walk,walk,True,False,tag,add,654,4968,5622,16528,8282,157,314,0,1,1.0,1.7908
snap=current query=point:d=1170 net=walk,walk,False,True,tag,add,361,4866,5227,12658,6329,95,190,0,28,0.9527,1.8195
snap=current query=point:d=2000 net=walk,walk,True,True,tag,add,656,5095,5751,16724,8381,161,322,0,41,0.9774,1.8684
snap=current query=point:d=2000 net=walk,walk,True,False,add,off,877,5465,6342,17968,9002,0,0,1754,1,1.0,2.5902
snap=current query=point:d=1500 net=walk,walk,False,False,tag,off,448,7186,7634,18588,9294,0,0,0,1,1.0,2.6589
snap=current query=point:d=2000 net=walk,walk,True,True,add,off,877,5590,6467,18156,9097,0,0,1754,41,0.9779,2.6621
snap=current query=point:d=2000 net=walk,walk,True,False,add,add,877,5637,6514,18312,9174,172,344,1754,1,1.0,2.6944
snap=current query=point:d=1500 net=walk,walk,False,False,tag,add,448,7320,7768,18856,9428,134,268,0,1,1.0,2.74
snap=current query=point:d=2000 net=walk,walk,True,True,add,add,877,5766,6643,18508,9273,176,352,1754,41,0.9777,2.7687
snap=current query=point:d=1500 net=walk,walk,False,True,tag,off,454,7468,7922,19132,9566,0,0,0,30,0.9636,2.8157
snap=current query=point:d=1500 net=walk,walk,False,True,tag,add,454,7607,8061,19410,9705,139,278,0,30,0.9632,2.8998
snap=current query=point:d=1500 net=walk,walk,False,False,add,off,583,7634,8217,19754,9877,0,0,1166,1,1.0,3.1262
snap=current query=point:d=2500 net=walk,walk,True,False,tag,off,816,6484,7300,21630,10846,0,0,0,1,1.0,3.1769
snap=current query=point:d=1500 net=walk,walk,False,False,add,add,583,7775,8358,20036,10018,141,282,1166,1,1.0,3.2116
snap=current query=place net=walk,walk,True,False,tag,off,798,6653,7451,21874,10971,0,0,0,1,1.0,3.2354
snap=current query=point:d=2500 net=walk,walk,True,False,tag,add,816,6703,7519,22068,11065,219,438,0,1,1.0,3.2931
snap=current query=point:d=1500 net=walk,walk,False,True,add,off,583,7922,8505,20298,10149,0,0,1166,30,0.9643,3.2986
snap=current query=place net=walk,walk,True,True,tag,off,799,6814,7613,22068,11068,0,0,0,66,0.9787,3.3106
snap=current query=place net=walk,walk,True,False,tag,add,798,6882,7680,22332,11200,229,458,0,1,1.0,3.3334
snap=current query=point:d=2500 net=walk,walk,True,True,tag,off,834,6732,7566,22128,11096,0,0,0,57,0.9648,3.3433
snap=current query=point:d=1500 net=walk,walk,False,True,add,add,583,8067,8650,20588,10294,145,290,1166,30,0.964,3.3863
snap=current query=place net=walk,walk,True,True,tag,add,799,7052,7851,22544,11306,238,476,0,66,0.9767,3.4112
snap=current query=point:d=2500 net=walk,walk,True,True,tag,add,834,6960,7794,22584,11324,228,456,0,57,0.9643,3.4396
snap=current query=place net=walk,walk,True,False,add,off,1046,7451,8497,23966,12017,0,0,2092,1,1.0,4.0831
snap=current query=place net=walk,walk,True,True,add,off,1046,7613,8659,24160,12114,0,0,2092,66,0.9785,4.1555
snap=current query=place net=walk,walk,True,False,add,add,1046,7703,8749,24470,12269,252,504,2092,1,1.0,4.1896
snap=current query=point:d=2500 net=walk,walk,True,False,add,off,1139,7300,8439,23908,11985,0,0,2278,1,1.0,4.2086
snap=current query=place net=walk,walk,True,True,add,add,1046,7874,8920,24682,12375,261,522,2092,66,0.9768,4.2659
snap=current query=point:d=2500 net=walk,walk,True,False,add,add,1139,7538,8677,24384,12223,238,476,2278,1,1.0,4.3092
snap=current query=point:d=2500 net=walk,walk,True,True,add,off,1139,7566,8705,24406,12235,0,0,2278,57,0.963,4.3221
snap=current query=point:d=3000 net=walk,walk,True,False,tag,off,1015,8305,9320,27430,13763,0,0,0,1,1.0,4.3243
snap=current query=point:d=2500 net=walk,walk,True,True,add,add,1139,7812,8951,24898,12481,246,492,2278,57,0.9627,4.426
snap=current query=point:d=3000 net=walk,walk,True,True,tag,off,1025,8540,9565,27786,13944,0,0,0,82,0.9744,4.448
snap=current query=point:d=3000 net=walk,walk,True,False,tag,add,1015,8601,9616,28022,14059,296,592,0,1,1.0,4.4494
snap=current query=point:d=3000 net=walk,walk,True,True,tag,add,1025,8861,9886,28428,14265,321,642,0,82,0.9712,4.5837
snap=current query=point:d=3000 net=walk,walk,True,False,add,off,1383,9320,10703,30196,15146,0,0,2766,1,1.0,5.5089
snap=current query=point:d=3000 net=walk,walk,True,True,add,off,1383,9565,10948,30552,15327,0,0,2766,82,0.9741,5.6164
snap=current query=point:d=3000 net=walk,walk,True,False,add,add,1383,9645,11028,30846,15471,325,650,2766,1,1.0,5.6463
snap=current query=point:d=2000 net=walk,walk,False,False,tag,off,698,12857,13555,32394,16197,0,0,0,1,1.0,5.7071
snap=current query=point:d=3000 net=walk,walk,True,True,add,add,1383,9912,11295,31246,15674,347,694,2766,82,0.9714,5.7631
snap=current query=point:d=2000 net=walk,walk,False,False,tag,add,698,13047,13745,32774,16387,190,380,0,1,1.0,5.7874
