source,network_type,simplify,retain_all,building_mode,open_ground,B,NB,total,Ed,Eu,og_nodes,og_edges,b_edges,n_comp,lc_ratio,score
snap=current query=point:d=500 net=walk,walk,False,True,add,add,412,4731,5143,11368,5684,355,710,824,46,0.8917,0.3655
snap=current query=point:d=500 net=walk,walk,False,True,add,off,412,4376,4788,10658,5329,0,0,824,46,0.8855,0.4781
snap=current query=point:d=500 net=walk,walk,False,False,add,add,412,4271,4683,10472,5236,352,704,824,1,1.0,0.5097
snap=current query=point:d=500 net=walk,walk,False,False,add,off,412,3919,4331,9768,4884,0,0,824,1,1.0,0.6213
snap=current query=point:d=500 net=walk,walk,False,True,tag,add,347,4380,4727,10536,5268,351,702,0,46,0.9012,0.6437
snap=current query=point:d=500 net=walk,walk,False,True,tag,off,347,4029,4376,9834,4917,0,0,0,46,0.8956,0.755
snap=current query=point:d=500 net=walk,walk,True,True,add,add,412,1929,2341,5764,2890,318,636,824,45,0.8629,0.8478
snap=current query=point:d=500 net=walk,walk,False,False,tag,add,299,3966,4265,9636,4818,346,692,0,1,1.0,0.8966
snap=current query=point:d=500 net=walk,walk,False,False,tag,off,299,3620,3919,8944,4472,0,0,0,1,1.0,0.8972
snap=current query=point:d=500 net=walk,walk,True,False,add,add,412,1715,2127,5360,2687,315,630,824,1,1.0,0.9424
snap=current query=point:d=500 net=walk,walk,True,True,add,off,412,1611,2023,5128,2572,0,0,824,45,0.8473,0.9935
snap=current query=place net=walk,walk,True,False,tag,add,577,3467,4044,11088,5563,522,1044,0,1,1.0,1.0057
snap=current query=place net=walk,walk,True,True,tag,add,678,4020,4698,12358,6202,548,1096,0,110,0.861,1.0634
snap=current query=point:d=500 net=walk,walk,True,False,add,off,412,1400,1812,4730,2372,0,0,824,1,1.0,1.0867
snap=current query=place net=walk,walk,True,False,tag,off,577,2945,3522,10044,5041,0,0,0,1,1.0,1.1712
snap=current query=place net=walk,walk,True,True,tag,off,678,3472,4150,11262,5654,0,0,0,110,0.8487,1.2371
snap=current query=place net=walk,walk,True,True,add,add,885,4704,5589,14140,7093,554,1108,1770,110,0.8442,1.3197
snap=current query=point:d=500 net=walk,walk,True,True,tag,add,269,1656,1925,4932,2474,314,628,0,45,0.8847,1.3602
snap=current query=place net=walk,walk,True,True,add,off,885,4150,5035,13032,6539,0,0,1770,110,0.8326,1.4954
snap=current query=point:d=500 net=walk,walk,True,True,tag,off,269,1342,1611,4304,2160,0,0,0,45,0.869,1.5041
snap=current query=place net=walk,walk,True,False,add,add,885,4057,4942,12884,6461,535,1070,1770,1,1.0,1.5228
snap=current query=point:d=500 net=walk,walk,True,False,tag,add,221,1487,1708,4522,2268,308,616,0,1,1.0,1.5643
snap=current query=place net=walk,walk,True,False,add,off,885,3522,4407,11814,5926,0,0,1770,1,1.0,1.6924
snap=current query=point:d=500 net=walk,walk,True,False,tag,off,221,1179,1400,3906,1960,0,0,0,1,1.0,1.7054
snap=current query=point:d=1000 net=walk,walk,True,False,tag,add,824,2771,3595,9808,4922,424,848,0,1,1.0,1.8182
snap=current query=point:d=1000 net=walk,walk,True,False,tag,off,824,2347,3171,8960,4498,0,0,0,1,1.0,1.8494
snap=current query=point:d=1000 net=walk,walk,True,True,tag,add,1017,3164,4181,11112,5576,445,890,0,71,0.8601,2.1252
snap=current query=point:d=1000 net=walk,walk,True,True,tag,off,1017,2719,3736,10222,5131,0,0,0,71,0.8488,2.2663
snap=current query=place net=walk,walk,False,False,tag,off,687,11278,11965,26930,13465,0,0,0,1,1.0,2.5519
snap=current query=place net=walk,walk,False,False,tag,add,687,11878,12565,28130,14065,600,1200,0,1,1.0,2.7422
snap=current query=point:d=1000 net=walk,walk,False,False,tag,off,1186,8397,9583,21784,10892,0,0,0,1,1.0,2.8929
snap=current query=point:d=1000 net=walk,walk,False,False,tag,add,1186,8880,10066,22750,11375,483,966,0,1,1.0,3.0461
snap=current query=place net=walk,walk,False,True,tag,off,774,12670,13444,29850,14925,0,0,0,112,0.89,3.214
snap=current query=place net=walk,walk,False,False,add,off,885,11965,12850,28700,14350,0,0,1770,1,1.0,3.2782
snap=current query=place net=walk,walk,False,True,tag,add,774,13289,14063,31088,15544,619,1238,0,112,0.8931,3.4103
snap=current query=place net=walk,walk,False,False,add,add,885,12571,13456,29912,14956,606,1212,1770,1,1.0,3.4704
snap=current query=place net=walk,walk,False,True,add,off,885,13444,14329,31620,15810,0,0,1770,112,0.8828,3.7445
snap=current query=point:d=1500 net=walk,walk,True,False,tag,add,1779,4489,6268,17276,8667,591,1182,0,1,1.0,3.7488
snap=current query=point:d=1500 net=walk,walk,True,False,tag,off,1779,3898,5677,16094,8076,0,0,0,1,1.0,3.7696
snap=current query=point:d=1000 net=walk,walk,False,True,tag,off,1410,9542,10952,24654,12327,0,0,0,74,0.875,3.8406
snap=current query=point:d=1000 net=walk,walk,True,True,add,add,1889,4199,6088,14926,7483,463,926,3778,71,0.8257,3.9
snap=current query=point:d=1000 net=walk,walk,True,True,add,off,1889,3736,5625,14000,7020,0,0,3778,71,0.8156,3.9374
snap=current query=place net=walk,walk,False,True,add,add,885,14069,14954,32870,16435,625,1250,1770,112,0.8859,3.9427
snap=current query=point:d=1000 net=walk,walk,True,False,add,add,1889,3618,5507,13632,6834,447,894,3778,1,1.0,3.9844
snap=current query=point:d=1000 net=walk,walk,False,True,tag,add,1410,10046,11456,25662,12831,504,1008,0,74,0.8784,4.0004
snap=current query=point:d=1500 net=walk,walk,True,True,tag,add,1902,4799,6701,18066,9062,603,1206,0,85,0.9351,4.0484
snap=current query=point:d=1500 net=walk,walk,True,True,tag,off,1902,4196,6098,16860,8459,0,0,0,85,0.931,4.0696
snap=current query=point:d=1000 net=walk,walk,True,False,add,off,1889,3171,5060,12738,6387,0,0,3778,1,1.0,4.1262
snap=current query=point:d=1000 net=walk,walk,False,False,add,off,1889,9583,11472,25562,12781,0,0,3778,1,1.0,5.0744
snap=current query=point:d=1000 net=walk,walk,False,False,add,add,1889,10085,11974,26566,13283,502,1004,3778,1,1.0,5.2336
snap=current query=point:d=1000 net=walk,walk,False,True,add,off,1889,10952,12841,28432,14216,0,0,3778,74,0.8569,5.5178
snap=current query=point:d=1000 net=walk,walk,False,True,add,add,1889,11471,13360,29470,14735,519,1038,3778,74,0.8608,5.6824
snap=current query=point:d=2000 net=walk,walk,True,False,tag,off,2761,5754,8515,24100,12093,0,0,0,1,1.0,6.4195
snap=current query=point:d=2000 net=walk,walk,True,False,tag,add,2761,6501,9262,25594,12840,747,1494,0,1,1.0,6.6563
snap=current query=point:d=2000 net=walk,walk,True,True,tag,off,2897,6114,9011,24996,12541,0,0,0,106,0.945,6.8761
snap=current query=point:d=2000 net=walk,walk,True,True,tag,add,2897,6875,9772,26518,13302,761,1522,0,106,0.9474,7.1174
snap=current query=point:d=1500 net=walk,walk,False,False,tag,off,2848,15455,18303,41346,20673,0,0,0,1,1.0,9.5488
snap=current query=point:d=1500 net=walk,walk,False,False,tag,add,2848,16145,18993,42726,21363,690,1380,0,1,1.0,9.7675
snap=current query=point:d=1500 net=walk,walk,False,True,tag,off,3000,16263,19263,43190,21595,0,0,0,88,0.9502,10.19
snap=current query=point:d=1500 net=walk,walk,True,False,add,off,4370,5677,10047,24834,12446,0,0,8740,1,1.0,10.361
snap=current query=point:d=1500 net=walk,walk,False,True,tag,add,3000,16965,19965,44594,22297,702,1404,0,88,0.9511,10.4126
snap=current query=point:d=1500 net=walk,walk,True,True,add,off,4370,6098,10468,25600,12829,0,0,8740,85,0.9301,10.4891
snap=current query=point:d=1500 net=walk,walk,True,False,add,add,4370,6302,10672,26084,13071,625,1250,8740,1,1.0,10.5592
snap=current query=point:d=1500 net=walk,walk,True,True,add,add,4370,6730,11100,26864,13461,632,1264,8740,85,0.9328,10.6895
snap=current query=point:d=2500 net=walk,walk,True,False,tag,off,4238,8822,13060,35994,18067,0,0,0,1,1.0,11.3868
snap=current query=point:d=2500 net=walk,walk,True,False,tag,add,4238,9770,14008,37890,19015,948,1896,0,1,1.0,11.6874
snap=current query=point:d=2500 net=walk,walk,True,True,tag,off,4361,9242,13603,36908,18527,0,0,0,134,0.9601,11.8242
snap=current query=point:d=2500 net=walk,walk,True,True,tag,add,4361,10214,14575,38852,19499,972,1944,0,134,0.9608,12.1324
snap=current query=point:d=1500 net=walk,walk,False,False,add,off,4370,18303,22673,50086,25043,0,0,8740,1,1.0,14.3605
snap=current query=point:d=1500 net=walk,walk,False,False,add,add,4370,19013,23383,51506,25753,710,1420,8740,1,1.0,14.5857
snap=current query=point:d=1500 net=walk,walk,False,True,add,off,4370,19263,23633,51930,25965,0,0,8740,88,0.9466,14.6596
