source,network_type,simplify,retain_all,building_mode,open_ground,B,NB,total,Ed,Eu,og_nodes,og_edges,b_edges,n_comp,lc_ratio,score
snap=current query=place net=walk,walk,False,False,add,off,448,6675,7123,16164,8082,0,0,896,1,1.0,0.1983
snap=current query=place net=walk,walk,False,False,add,add,448,6963,7411,16740,8370,288,576,896,1,1.0,0.2841
snap=current query=place net=walk,walk,False,False,tag,off,251,6424,6675,15268,7634,0,0,0,1,1.0,0.5511
snap=current query=place net=walk,walk,False,False,tag,add,251,6711,6962,15842,7921,287,574,0,1,1.0,0.6098
snap=current query=place net=walk,walk,True,False,add,off,448,2639,3087,8092,4051,0,0,896,1,1.0,0.7693
snap=current query=place net=walk,walk,True,True,add,add,448,3368,3816,9622,4821,311,622,896,56,0.8268,0.7937
snap=current query=place net=walk,walk,True,False,add,add,448,2912,3360,8638,4324,273,546,896,1,1.0,0.8061
snap=current query=place net=walk,walk,False,True,add,off,448,8750,9198,20386,10193,0,0,896,56,0.7531,0.8217
snap=current query=place net=walk,walk,True,True,add,off,448,3057,3505,9000,4510,0,0,896,56,0.8251,0.8361
snap=current query=place net=walk,walk,False,True,tag,off,346,8404,8750,19490,9745,0,0,0,56,0.7629,0.9196
snap=current query=place net=walk,walk,False,True,add,add,448,9093,9541,21072,10536,343,686,896,56,0.7547,0.9239
snap=current query=place net=walk,walk,False,True,tag,add,346,8744,9090,20170,10085,340,680,0,56,0.7642,1.0209
snap=current query=place net=walk,walk,True,True,tag,off,302,2755,3057,8104,4062,0,0,0,56,0.8633,1.0678
snap=current query=place net=walk,walk,True,True,tag,add,302,3054,3356,8702,4361,299,598,0,56,0.8629,1.1082
snap=current query=place net=walk,walk,True,False,tag,off,240,2399,2639,7196,3603,0,0,0,1,1.0,1.1308
snap=current query=place net=walk,walk,True,False,tag,add,240,2666,2906,7730,3870,267,534,0,1,1.0,1.1668
snap=current query=point:d=1500 net=walk,walk,True,False,tag,add,1335,4234,5569,14428,7227,448,896,0,1,1.0,2.3927
snap=current query=point:d=1500 net=walk,walk,True,False,tag,off,1335,3786,5121,13532,6779,0,0,0,1,1.0,2.4402
snap=current query=point:d=1500 net=walk,walk,True,True,tag,add,1398,4707,6105,15378,7707,478,956,0,110,0.9086,2.5309
snap=current query=point:d=1500 net=walk,walk,True,True,tag,off,1398,4229,5627,14422,7229,0,0,0,110,0.9101,2.5354
snap=current query=point:d=2000 net=walk,walk,True,False,tag,add,1828,5488,7316,18744,9398,581,1162,0,1,1.0,3.6213
snap=current query=point:d=2000 net=walk,walk,True,False,tag,off,1828,4907,6735,17582,8817,0,0,0,1,1.0,3.6267
snap=current query=point:d=2000 net=walk,walk,True,True,tag,add,1935,6053,7988,19974,10023,625,1250,0,125,0.9134,3.8652
snap=current query=point:d=2000 net=walk,walk,True,True,tag,off,1935,5428,7363,18724,9398,0,0,0,125,0.9147,3.871
snap=current query=point:d=2500 net=walk,walk,True,False,tag,add,2075,5781,7856,20098,10081,594,1188,0,1,1.0,4.2299
snap=current query=point:d=2500 net=walk,walk,True,False,tag,off,2075,5187,7262,18910,9487,0,0,0,1,1.0,4.2354
snap=current query=point:d=2500 net=walk,walk,True,True,tag,off,2329,6132,8461,21324,10709,0,0,0,162,0.8583,4.8375
snap=current query=point:d=2500 net=walk,walk,True,True,tag,add,2329,6822,9151,22704,11399,690,1380,0,162,0.8564,4.9266
snap=current query=point:d=3000 net=walk,walk,True,False,tag,add,2383,6242,8625,21916,10999,666,1332,0,1,1.0,4.9838
snap=current query=point:d=3000 net=walk,walk,True,False,tag,off,2383,5576,7959,20584,10333,0,0,0,1,1.0,4.9899
snap=current query=point:d=3000 net=walk,walk,True,True,tag,off,2743,6864,9607,23966,12043,0,0,0,183,0.8285,5.9563
"snap=current query=place:Blacksburg, VA, USA net=walk",walk,True,False,tag,off,2827,6013,8840,22820,11462,0,0,0,1,1.0,6.0835
snap=current query=point:d=1500 net=walk,walk,False,False,tag,off,2144,12626,14770,32830,16415,0,0,0,1,1.0,6.1262
"snap=current query=place:Blacksburg, VA, USA net=walk",walk,True,False,tag,add,2827,6727,9554,24248,12176,714,1428,0,1,1.0,6.1432
snap=current query=point:d=3000 net=walk,walk,True,True,tag,add,2743,7681,10424,25600,12860,817,1634,0,183,0.8253,6.1997
snap=current query=point:d=1500 net=walk,walk,False,False,tag,add,2144,13182,15326,33942,16971,556,1112,0,1,1.0,6.2918
snap=current query=point:d=1500 net=walk,walk,False,True,tag,off,2210,14139,16349,35866,17933,0,0,0,110,0.9034,6.726
snap=current query=point:d=1500 net=walk,walk,False,True,tag,add,2210,14755,16965,37098,18549,616,1232,0,110,0.9006,6.9095
snap=current query=point:d=1500 net=walk,walk,True,True,add,add,3642,6226,9868,22904,11470,599,1198,7284,110,0.9163,7.8834
snap=current query=point:d=1500 net=walk,walk,True,True,add,off,3642,5627,9269,21706,10871,0,0,7284,110,0.9199,7.889
snap=current query=point:d=1500 net=walk,walk,True,False,add,add,3642,5661,9303,21896,10961,540,1080,7284,1,1.0,7.8967
snap=current query=point:d=1500 net=walk,walk,True,False,add,off,3642,5121,8763,20816,10421,0,0,7284,1,1.0,7.9017
"snap=current query=place:Blacksburg, VA, USA net=walk",walk,True,True,tag,off,3412,8192,11604,28678,14411,0,0,0,243,0.7618,8.0054
"snap=current query=place:Blacksburg, VA, USA net=walk",walk,True,True,tag,add,3412,9176,12588,30646,15395,984,1968,0,243,0.7572,8.2985
snap=current query=point:d=2000 net=walk,walk,False,False,tag,off,2987,17443,20430,44972,22486,0,0,0,1,1.0,9.6366
snap=current query=point:d=2000 net=walk,walk,False,False,tag,add,2987,18200,21187,46486,23243,757,1514,0,1,1.0,9.8621
snap=current query=point:d=1500 net=walk,walk,False,False,add,off,3642,14770,18412,40114,20057,0,0,7284,1,1.0,10.3474
snap=current query=point:d=1500 net=walk,walk,False,False,add,add,3642,15378,19020,41330,20665,608,1216,7284,1,1.0,10.5285
snap=current query=point:d=2000 net=walk,walk,False,True,tag,off,3112,19681,22793,49584,24792,0,0,0,125,0.8963,10.594
snap=current query=point:d=1500 net=walk,walk,False,True,add,off,3642,16349,19991,43150,21575,0,0,7284,110,0.9121,10.809
snap=current query=point:d=2000 net=walk,walk,False,True,tag,add,3112,20506,23618,51234,25617,825,1650,0,125,0.8955,10.8398
snap=current query=point:d=1500 net=walk,walk,False,True,add,add,3642,17040,20682,44532,22266,691,1382,7284,110,0.909,11.0148
snap=current query=point:d=2000 net=walk,walk,True,False,add,off,5133,6735,11868,27848,13950,0,0,10266,1,1.0,11.5825
snap=current query=point:d=2000 net=walk,walk,True,True,add,off,5133,7363,12496,28990,14531,0,0,10266,125,0.9185,11.7628
snap=current query=point:d=2000 net=walk,walk,True,False,add,add,5133,7442,12575,29262,14657,707,1414,10266,1,1.0,11.7931
snap=current query=point:d=2500 net=walk,walk,False,False,tag,off,3638,19454,23092,50570,25285,0,0,0,1,1.0,11.8123
snap=current query=point:d=2000 net=walk,walk,True,True,add,add,5133,8147,13280,30558,15315,784,1568,10266,125,0.916,11.9964
snap=current query=point:d=2500 net=walk,walk,False,False,tag,add,3638,20243,23881,52148,26074,789,1578,0,1,1.0,12.0474
snap=current query=point:d=2500 net=walk,walk,False,True,tag,off,3989,23859,27848,60098,30049,0,0,0,163,0.8292,13.9652
snap=current query=point:d=2500 net=walk,walk,False,True,tag,add,3989,24780,28769,61940,30970,921,1842,0,163,0.8287,14.2395
snap=current query=point:d=3000 net=walk,walk,False,False,tag,off,4337,21991,26328,57322,28661,0,0,0,1,1.0,14.26
snap=current query=point:d=3000 net=walk,walk,False,False,tag,add,4337,22863,27200,59066,29533,872,1744,0,1,1.0,14.5197
snap=current query=point:d=2500 net=walk,walk,True,False,add,off,6481,7262,13743,31872,15968,0,0,12962,1,1.0,14.9839
snap=current query=point:d=2500 net=walk,walk,True,False,add,add,6481,8002,14483,33352,16708,740,1480,12962,1,1.0,15.2044
snap=current query=point:d=2500 net=walk,walk,True,True,add,off,6481,8461,14942,34286,17190,0,0,12962,162,0.8621,15.3444
snap=current query=point:d=2500 net=walk,walk,True,True,add,add,6481,9330,15811,36024,18059,869,1738,12962,162,0.86,15.6033
snap=current query=point:d=2000 net=walk,walk,False,False,add,off,5133,20430,25563,55238,27619,0,0,10266,1,1.0,15.6586
snap=current query=point:d=2000 net=walk,walk,False,False,add,add,5133,21255,26388,56888,28444,825,1650,10266,1,1.0,15.9044
snap=current query=point:d=2000 net=walk,walk,False,True,add,off,5133,22793,27926,59850,29925,0,0,10266,125,0.9044,16.3543
snap=current query=point:d=2000 net=walk,walk,False,True,add,add,5133,23717,28850,61698,30849,924,1848,10266,125,0.9029,16.6296
snap=current query=point:d=3000 net=walk,walk,False,True,tag,off,4848,27918,32766,70284,35142,0,0,0,184,0.8035,17.2539
snap=current query=point:d=3000 net=walk,walk,False,True,tag,add,4848,28980,33828,72408,36204,1062,2124,0,184,0.8027,17.5703
"snap=current query=place:Blacksburg, VA, USA net=walk",walk,False,False,tag,off,5376,26944,32320,69780,34890,0,0,0,1,1.0,18.2545
"snap=current query=place:Blacksburg, VA, USA net=walk",walk,False,False,tag,add,5376,27901,33277,71694,35847,957,1914,0,1,1.0,18.5396
snap=current query=point:d=3000 net=walk,walk,True,False,add,off,7904,7959,15863,36392,18237,0,0,15808,1,1.0,18.6162
snap=current query=point:d=3000 net=walk,walk,True,False,add,add,7904,8785,16689,38044,19063,826,1652,15808,1,1.0,18.8622
snap=current query=point:d=3000 net=walk,walk,True,True,add,off,7904,9607,17511,39774,19947,0,0,15808,183,0.8439,19.1161
snap=current query=point:d=3000 net=walk,walk,True,True,add,add,7904,10623,18527,41806,20963,1016,2032,15808,183,0.8407,19.4187
snap=current query=point:d=2500 net=walk,walk,False,False,add,off,6481,23092,29573,63532,31766,0,0,12962,1,1.0,19.6952
snap=current query=point:d=2500 net=walk,walk,False,False,add,add,6481,23960,30441,65268,32634,868,1736,12962,1,1.0,19.9537
snap=current query=point:d=2500 net=walk,walk,False,True,add,off,6481,27848,34329,73060,36530,0,0,12962,163,0.839,21.1132
snap=current query=point:d=2500 net=walk,walk,False,True,add,add,6481,28875,35356,75114,37557,1027,2054,12962,163,0.8381,21.4191
"snap=current query=place:Blacksburg, VA, USA net=walk",walk,False,True,tag,off,6203,35976,42179,89828,44914,0,0,0,244,0.7663,22.9468
"snap=current query=place:Blacksburg, VA, USA net=walk",walk,False,True,tag,add,6203,37264,43467,92404,46202,1288,2576,0,244,0.7645,23.3305
snap=current query=point:d=3000 net=walk,walk,False,False,add,off,7904,26328,34232,73130,36565,0,0,15808,1,1.0,24.0825
snap=current query=point:d=3000 net=walk,walk,False,False,add,add,7904,27287,35191,75048,37524,959,1918,15808,1,1.0,24.3682
"snap=current query=place:Blacksburg, VA, USA net=walk",walk,True,False,add,off,10244,8840,19084,43308,21706,0,0,20488,1,1.0,24.5106
"snap=current query=place:Blacksburg, VA, USA net=walk",walk,True,False,add,add,10244,9740,19984,45108,22606,900,1800,20488,1,1.0,24.7787
"snap=current query=place:Blacksburg, VA, USA net=walk",walk,True,True,add,off,10244,11604,21848,49166,24655,0,0,20488,243,0.8021,25.3607
"snap=current query=place:Blacksburg, VA, USA net=walk",walk,True,True,add,add,10244,12823,23067,51604,25874,1219,2438,20488,243,0.7975,25.7238
snap=current query=point:d=3000 net=walk,walk,False,True,add,off,7904,32766,40670,86092,43046,0,0,15808,184,0.8183,26.0066
snap=current query=point:d=3000 net=walk,walk,False,True,add,add,7904,33945,41849,88450,44225,1179,2358,15808,184,0.8171,26.3579
"snap=current query=place:Blacksburg, VA, USA net=walk",walk,False,False,add,off,10244,32320,42564,90268,45134,0,0,20488,1,1.0,31.4979
"snap=current query=place:Blacksburg, VA, USA net=walk",walk,False,False,add,add,10244,33369,43613,92366,46183,1049,2098,20488,1,1.0,31.8104
"snap=current query=place:Blacksburg, VA, USA net=walk",walk,False,True,add,off,10244,42179,52423,110316,55158,0,0,20488,244,0.7845,34.4588
"snap=current query=place:Blacksburg, VA, USA net=walk",walk,False,True,add,add,10244,43584,53828,113126,56563,1405,2810,20488,244,0.7827,34.8774
